P_psig,P_psia,a_in,a_cm,c_in,c_cm,V_cm3,n_mol,R,T_F,T_K
14.2911422,28.9911422,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,90,305.3722222
14.34388501,29.04388501,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,91,305.9277778
14.39662783,29.09662783,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,92,306.4833333
14.44937064,29.14937064,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,93,307.0388889
14.50211345,29.20211345,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,94,307.5944444
14.55485627,29.25485627,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,95,308.15
14.60759908,29.30759908,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,96,308.7055556
14.66034189,29.36034189,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,97,309.2611111
14.71308471,29.41308471,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,98,309.8166667
14.76582752,29.46582752,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,99,310.3722222
14.81857033,29.51857033,3.342253805,8.489324665,5.5,13.97,4217.268979,0.332010556,1205.91086,100,310.9277778
